문제,답
여름마다 일어나는 전쟁은? , 더워
아마존에 살고 있는 사람 이름은? , 아마 존?
가장 가난한 왕은? , 최저임금
방금 화장실에서 나온 사람은 어느 나라 사람일까? , 일본사람
타이타닉의 구명보트에는 몇 명이 탈 수 있을까? , 구명보트
문제투성이인 것은? , 시험지
폭력배가 많은 나라는? , 칠레
세상에서 가장 큰 코는? , 멕시코
오리를 생으로 먹으면? , 회오리
방귀 뀌지마를 영어로 하면? , 돈가스
물고기 중에 가장 많이 배운 물고기는? , 고등어
바나나가 웃으면? , 바나나킥
성 3개가 불타고 있다면? , 삼성화재
불은 불인데 안 뜨거운 불은? , 이불
형제가 싸울 때 동생 편만 드는 세상은? , 형편 없는 세상
정삼각형의 동생 이름은? , 정삼각
소가 불이 난 걸 구경하고 있으면? , 소방관
파마한 사람이 아무도 없다면? , 무파마
귀는 귀인데 못 듣는 귀는? , 뼈다귀
개가 사람을 가르치면? , 개인지도
중학생과 고등학생이 타는 차는? , 중고차
앞날을 내다볼 수 있는 벌레? , 무당벌레
왕이 넘어지면? , 킹콩
암탉은 어느 집에서 시집을 왔을까? , 꼬꼬댁
개근하는 학생이 가장 많은 대학교는? , 가야대
차를 발로 차면? , 카놀라유
세상에서 제일 야한 채소는? , 버섯
새우가 출연하는 드라마는? , 대하드라마
세상에서 가장 쉬운 숫자는? , 19만
바람이 귀엽게 부는 도시는? , 분당
세상에서 가장 뜨거운 복숭아는? , 천도복숭아
